"Numeric_Based on your overall experience, how would you evaluate Home Credit and its products and services?",What is the primary reason for your score?,"To what extent would you recommend Home Credit to your friends and colleagues? Use rating scale 0 to 10, where 0 means that you would not recommend it at all while 10 means you would definitely recommend it to your friends/colleagues.?","Group_To what extent would you recommend Home Credit to your friends and colleagues? Use rating scale 0 to 10, where 0 means that you would not recommend it at all while 10 means you would definitely recommend it to your friends/colleagues.?","Positive reasons
Why did you give a rating of {To what extent would you recommend Home Credit to your friends and colleagues? Use rating scale 0 to 10, where 0 means that you would not recommend it at all while 10 means you would definitely recommend it to your friends/colleagues.?}"
10,JALDIE LOAN MIL GYA,10,Promoters,Quick loan approvals / Higher chances of loan getting approved
8,interest rate thoda kam chyaia,8,Passive,No positive reason
5,"कस्टमर केयर से बात नहीं हो पाती 
 Can't talk to customer care",8,Passive,Good previous experience / HC resolved my problem|I trust HC / I know this company
10,iska process ogara sab kuch acha hai,10,Promoters,Overall satisfaction – Everything was ok/without problems
10,Loans are easily available,10,Promoters,Convenient repayment process / collection
5,ज्यादा ब्याज़ दर,6,Detractor,No positive reason
10,easy application process and interest rate is good,10,Promoters,"I received the loan from HC when I was in need|Application Process - Easy, Fast and Convenient"
8,EMI DATE KE BARE MAI THIK TARAH SE JANKARI NHI DI GAYI DATE SE SANTUST NHI,10,Promoters,I received the loan from HC when I was in need
7,INTEREST RATE THODA KAM HONA CHYAIA,10,Promoters,"Application Process - Easy, Fast and Convenient"
5,customer care se contact nahi ho pata / solution nahi milta,8,Passive,Overall satisfaction – Everything was ok/without problems
5,interest rate bahut jyada hai,8,Passive,Quick loan approvals / Higher chances of loan getting approved
10,"Positive*  Home Credit's flexible loan seemed very good
Negative* When the customer calculates the EMI through the app, the amount appears different and when the customer goes to take the loan, the EMI amount is different.",10,Promoters,"Application Process - Easy, Fast and Convenient"
7,INTEREST RATE JYADA H,7,Passive,No positive reason
6,Interest rate bhut jyada hai Home Credit ka.,7,Passive,Quick loan approvals / Higher chances of loan getting approved|Less Documents required for taking a loan / convenient loan application process
10,LOAN APPROVAL JALDI MIL JATA HAIN,10,Promoters,Quick loan approvals / Higher chances of loan getting approved
10,JARURAT KE TIME PAR HOME CREDIT SE LOAN MIL JATA,10,Promoters,I received the loan from HC when I was in need
10,EMI PROCESS IS GOOD.,10,Promoters,"Application Process - Easy, Fast and Convenient|I trust HC / I know this company"
10,"Application Process Easy, Fast and Convenient",7,Passive,Overall satisfaction – Everything was ok/without problems
10,Home Credit से ज़रूरत के समय लोन मिल गया,10,Promoters,I received the loan from HC when I was in need
10,"quick loan service , as you get instant loan",10,Promoters,"I received the loan from HC when I was in need|Less Documents required for taking a loan / convenient loan application process|Application Process - Easy, Fast and Convenient|Convenient repayment process / collection"
5,CUSTOMER CARE SERVICE IS NOT GOOD,5,Detractor,No positive reason
10,easy loan h jaldi apply ho jaata h,10,Promoters,Overall satisfaction – Everything was ok/without problems
7,INTEREST RATE THODA KAM HONA CHYAIA,5,Detractor,No positive reason
10,flexible loan service is best,10,Promoters,Quick loan approvals / Higher chances of loan getting approved|Convenient repayment process / collection
10,all good,10,Promoters,Overall satisfaction – Everything was ok/without problems
10,JARURAT KE SAMEYA JALDIE LOAN MIL GYA,10,Promoters,Quick loan approvals / Higher chances of loan getting approved
10,Home Credit ki Flexible Loan Service achhi lagg aur jaldi se Loan mill jata hai.,10,Promoters,Already recommended to my friends|Overall satisfaction – Everything was ok/without problems|Quick loan approvals / Higher chances of loan getting approved
10,"Home Credit's flexible loan is very good, take the money whenever you want and close the loan whenever you want.",10,Promoters,Overall satisfaction – Everything was ok/without problems
10,JARURAT KE TIME PAR HOME CREDIT SE LOAN MIL JATA,10,Promoters,Already recommended to my friends|I received the loan from HC when I was in need
