"Numeric_Based on your overall experience, how would you evaluate Home Credit and its products and services?",What is the primary reason for your score?,"To what extent would you recommend Home Credit to your friends and colleagues? Use rating scale 0 to 10, where 0 means that you would not recommend it at all while 10 means you would definitely recommend it to your friends/colleagues.?","Group_To what extent would you recommend Home Credit to your friends and colleagues? Use rating scale 0 to 10, where 0 means that you would not recommend it at all while 10 means you would definitely recommend it to your friends/colleagues.?","Positive reasons
Why did you give a rating of {To what extent would you recommend Home Credit to your friends and colleagues? Use rating scale 0 to 10, where 0 means that you would not recommend it at all while 10 means you would definitely recommend it to your friends/colleagues.?}"
10,They didn't deduct extra charges in case of late EMI,10,Promoters,Overall satisfaction – Everything was ok/without problems
10,service is good like dealer behaviour is so good,10,Promoters,Customer care service is good|I received the loan from HC when I was in need|Overall satisfaction – Everything was ok/without problems
10,JADLI APPROVAL MIL JATA HAI,8,Passive,"Quick loan approvals / Higher chances of loan getting approved|Application Process - Easy, Fast and Convenient|Customer care service is good"
8,Sab kuch thik hai hai lekin abhi ke liye itna hi rating de skte hai.,10,Promoters,"Others|Application Process - Easy, Fast and Convenient"
9,all  service sy customer happy h,10,Promoters,I received the loan from HC when I was in need
10,service achi hai,10,Promoters,Overall satisfaction – Everything was ok/without problems
9,good loan app,9,Promoters,"Application Process - Easy, Fast and Convenient|Customer care service is good|Overall satisfaction – Everything was ok/without problems"
10,Good service and a loan is available from time to time,10,Promoters,Others|Customer care service is good|Easily available in shops / Dealer recommendation
8,Abhi ke liye itna hi Rating de skte hai baaki sab kuch thik hai.,9,Promoters,Customer care service is good
10,loan approval jaldi aajata hai all good,10,Promoters,Quick loan approvals / Higher chances of loan getting approved|I received the loan from HC when I was in need
10,DOCUMENT KAM LAGTE HAI / SERVICE ACHI HAI,10,Promoters,Customer care service is good|Less Documents required for taking a loan / convenient loan application process
5,call aati hai baar baar preshan kiya jata hai calls nhi karni chahiye,8,Passive,No positive reason
10,Down-Payment kam lagta hai aur Payment karne ke liye bhut time mill jata hai. bass Home Credit ke taraf se calls bhut aate hai wo thoda sa kam hona chahiye.,10,Promoters,I received the loan from HC when I was in need
8,application process is not good,10,Promoters,Quick loan approvals / Higher chances of loan getting approved|Overall satisfaction – Everything was ok/without problems
8,SERVICE ACHI LGI,10,Promoters,"Application Process - Easy, Fast and Convenient|Quick loan approvals / Higher chances of loan getting approved"
10,Loans are easily available.,10,Promoters,Overall satisfaction – Everything was ok/without problems|HC removed my late payment charges/penalty charges
8,autodebit lagne ke bad  bi emi apne ap nhi kat ti hai isse customer ka aage ke liye cibil score kharb ho skta hai,7,Passive,No positive reason
9,"products is good , interest rate kam hai.",7,Passive,"Application Process - Easy, Fast and Convenient"
10,"dealer behaviour is good , he explain  everything in very good manner",10,Promoters,Quick loan approvals / Higher chances of loan getting approved
7,abhi ke liye itna hi Rating denge baaki sab kuch thik hai.,10,Promoters,"Others|Application Process - Easy, Fast and Convenient"
10,jarurat ke tima par finance mil gaya home credit se acha laga,10,Promoters,I received the loan from HC when I was in need|Quick loan approvals / Higher chances of loan getting approved|Overall satisfaction – Everything was ok/without problems
10,FINANCE ACTIVITY PASAND AI,9,Promoters,Less Documents required for taking a loan / convenient loan application process|Others
8,bill jama karne ke baad dobara  se kat gaya. emi jayda kat gai.,10,Promoters,Overall satisfaction – Everything was ok/without problems
6,interest rate jada hai kam hona chahiye dost ko dilana chahte the unka nhi ho paya finance,6,Detractor,"Application Process - Easy, Fast and Convenient|Quick loan approvals / Higher chances of loan getting approved"
10,credit card services is good,10,Promoters,Quick loan approvals / Higher chances of loan getting approved|Overall satisfaction – Everything was ok/without problems
10,auto debit time pr pay ho jata hain,10,Promoters,HC removed my late payment charges/penalty charges|Overall satisfaction – Everything was ok/without problems
6,DEALER JITNI EMI BTAI USY JYADA KATT RAHI H  TO JITNI DEALER BTATA H UTNI HI KATNI CHIYE,6,Detractor,Quick loan approvals / Higher chances of loan getting approved
4,call jyada aati hain jis se customer perasan hote hain,1,Detractor,No positive reason
10,JALDI APROVAL MILL GYA,10,Promoters,"Application Process - Easy, Fast and Convenient|I received the loan from HC when I was in need"
10,HOME CREDIT PROCESS IS GOOD.,10,Promoters,"Application Process - Easy, Fast and Convenient"
6,file charges is high as per customer,6,Detractor,Quick loan approvals / Higher chances of loan getting approved
10,customer ko service m sb trha sy service sy santusth  h,10,Promoters,Convenient repayment process / collection
8,auto debit se paise kat jate hai pta nhi chla ye kami lagi baki sab thik,10,Promoters,"Application Process - Easy, Fast and Convenient|Quick loan approvals / Higher chances of loan getting approved|Convenient repayment process / collection"
10,service is good,10,Promoters,Overall satisfaction – Everything was ok/without problems
1,BANK SE EMI AUTO DETECT  NAHI HOTI HAI,0,Detractor,No positive reason
9,phone  liya tha yhi acha lga mujhe,10,Promoters,"Quick loan approvals / Higher chances of loan getting approved|Application Process - Easy, Fast and Convenient"
10,Home Credit service is very good I am satisfied,10,Promoters,Quick loan approvals / Higher chances of loan getting approved
8,इंटरेस्ट ज्यादा लगता है,7,Passive,Others
10,"loan time  per mil gaya , everything is good.",10,Promoters,"Quick loan approvals / Higher chances of loan getting approved|Application Process - Easy, Fast and Convenient|I trust HC / I know this company"
10,everything is good,10,Promoters,No positive reason
7,emi eak do din late hony per intrest nhi lgna chiye,8,Passive,No positive reason
10,Customer Care Service is Good,10,Promoters,Overall satisfaction – Everything was ok/without problems
5,customer ka ecs kaat liya gya and payment due thi too use se phelye hi ecs katt liya,5,Detractor,No positive reason
10,approval jaldi mill gya,10,Promoters,"Application Process - Easy, Fast and Convenient|Quick loan approvals / Higher chances of loan getting approved"
9,जल्दी फाइनेंस हो गया था,9,Promoters,"Others|Application Process - Easy, Fast and Convenient"
10,service is good,10,Promoters,Overall satisfaction – Everything was ok/without problems
10,Fast Process,10,Promoters,Overall satisfaction – Everything was ok/without problems
9,"overall good hai , time per loan mil gaya ,.",9,Promoters,"Application Process - Easy, Fast and Convenient|Convenient repayment process / collection|I received the loan from HC when I was in need"
10,service is good,10,Promoters,"Overall satisfaction – Everything was ok/without problems|Application Process - Easy, Fast and Convenient|Quick loan approvals / Higher chances of loan getting approved"
10,"QUICK APPROVAL LESS TIME CONSUMING , EVERYTHING ARRANGED ON TIME",10,Promoters,I received the loan from HC when I was in need|Quick loan approvals / Higher chances of loan getting approved|Customer care service is good
8,no suggection because abhi one month hua h customer ko,10,Promoters,"Application Process - Easy, Fast and Convenient|Quick loan approvals / Higher chances of loan getting approved"
7,They shoudn't take extra charges in case of late EMI,8,Passive,Overall satisfaction – Everything was ok/without problems
10,time table accha hai emi date ka due hone pr bi 1/2 din tak maaf kr dete hai,10,Promoters,Overall satisfaction – Everything was ok/without problems
10,QUICK AND EASY APPLICATION PROCESS,10,Promoters,Customer care service is good|Quick loan approvals / Higher chances of loan getting approved|I received the loan from HC when I was in need
10,ALL GOOD,10,Promoters,No positive reason
10,auto debit service is good,9,Promoters,Less Documents required for taking a loan / convenient loan application process
8,"If EMI is late by one day, ₹ 500 is deducted.",8,Passive,No positive reason
10,fast process hai jada time nhi laga finance milne mai,10,Promoters,Quick loan approvals / Higher chances of loan getting approved|Customer care service is good
6,किस्त का  टाइम  जो  मुझे दिया  गया है वो  1 से 3 तारीख तक का दिया हुआ है उसमें मुझे बहुत ज्यादा प्रॉब्लम होती है,6,Detractor,Others
10,time per loan mil jata hai.,10,Promoters,I received the loan from HC when I was in need|Less Documents required for taking a loan / convenient loan application process
10,"Home credit is very good, it is very convenient to pay installments",10,Promoters,Overall satisfaction – Everything was ok/without problems
8,There are extra charges for financing done through Home Credit.,10,Promoters,Others
10,Easy And fast process,10,Promoters,Overall satisfaction – Everything was ok/without problems
7,I have to pay a lot of EMI and the interest is high.,7,Passive,No positive reason
10,time to time finance mil jata hai m khush hu.,10,Promoters,Overall satisfaction – Everything was ok/without problems
8,phone per aap nhi chalta hai. apple ke phone.,8,Passive,No positive reason
10,ALL GOOOD,10,Promoters,Customer care service is good
10,"AT THE TIME OF NEED OF MONEY , CUSTOMER GET LOAN FROM HC",10,Promoters,I received the loan from HC when I was in need
10,auto debit services is good,10,Promoters,Overall satisfaction – Everything was ok/without problems|Quick loan approvals / Higher chances of loan getting approved|Others
10,TIME P LOAN ASANI SY MILL JATA H,10,Promoters,I received the loan from HC when I was in need|Less Documents required for taking a loan / convenient loan application process
8,service is good,10,Promoters,"Overall satisfaction – Everything was ok/without problems|Quick loan approvals / Higher chances of loan getting approved|Application Process - Easy, Fast and Convenient"
10,asani se laon mil jata hai jada samay nahi lagta,10,Promoters,"Application Process - Easy, Fast and Convenient|Already recommended to my friends|Others"
10,time se product mil jata hai time se pay kr dete hai.,9,Promoters,No positive reason
10,Home Credit me Kam Down-Payment lagta hai aur kahi ka bhi ID Proof ho firr bhi Finance aasani se ho jata hai.,10,Promoters,Others|Overall satisfaction – Everything was ok/without problems
10,LOAN JALDI MIL JATA HAI,10,Promoters,Customer care service is good
10,kbhi bi emi pay kar skte hai,8,Passive,No positive reason
10,"QUICK APPROVAL FOR LOAN TAKEN OR FINANCE A PRODUCT , AND EVERYTHING CAN BE ARRANGED ONLINE , THERE IS NO DOCUMENTATION",10,Promoters,Quick loan approvals / Higher chances of loan getting approved
7,DOWN PAYMENT AND EMI PROCESS TIME JYADA HONA CHIYE,10,Promoters,Overall satisfaction – Everything was ok/without problems|Provide loans to everyone without loan history or credit score
10,home credit app  bhot accha app hai,10,Promoters,"Application Process - Easy, Fast and Convenient"
10,"EVERYTHING CAN BE  ARRANGED ONLINE , YOU CAN GET LOAN OR FINANCE PRODUCT AT YOUR DOOR STEP",10,Promoters,Customer care service is good|Quick loan approvals / Higher chances of loan getting approved
7,abhi ke liye itna hi rating de skta hai baaki sab kuch thik hai.,8,Passive,Others|Overall satisfaction – Everything was ok/without problems
7,interest rate kam kiya jaay. 13 se 15 ki date aage ki jaay.,6,Detractor,Already recommended to my friends
10,INTEREST KAM THAA,10,Promoters,Quick loan approvals / Higher chances of loan getting approved
10,Loan gets approved quickly,10,Promoters,Overall satisfaction – Everything was ok/without problems|Customer care service is good
10,loan and finance ka approvel jaldi aa jata hain,10,Promoters,Quick loan approvals / Higher chances of loan getting approved
10,SERVISE IS GOOD,10,Promoters,Overall satisfaction – Everything was ok/without problems|Good previous experience / HC resolved my problem
9,जब मैं फाइनेंस करवाने  के लिए गया था तो मुझे तुरंत मोबाइल मिल गया था,8,Passive,Others
9,pichla anubhav acha tha baki kabi kabi time lagta finnce milne mai par mil jata kabhi kbhi time par emi bharne ke baad bhi limit nhi badhti baki anubhav acha hai,10,Promoters,Easily available in shops / Dealer recommendation|Overall satisfaction – Everything was ok/without problems|Convenient repayment process / collection|Good previous experience / HC resolved my problem
9,Loan is available quickly and the process is also very quick.,9,Promoters,Overall satisfaction – Everything was ok/without problems
10,EMI Payment ka Time to Time Message aa jata hai ye customer ko sabse acha laga.,10,Promoters,Overall satisfaction – Everything was ok/without problems|Others
10,"DOCUMENTATION IS LESS , EVERYTHING CAN BE ARRANGE ONLINE , NO PAPER WORK AT ALL",10,Promoters,I received the loan from HC when I was in need|Customer care service is good
10,INTEREST KAM HAI,10,Promoters,Quick loan approvals / Higher chances of loan getting approved
10,SERVICE IS GOOD,10,Promoters,Overall satisfaction – Everything was ok/without problems
10,Everything Is Good,10,Promoters,Overall satisfaction – Everything was ok/without problems
10,LOAN OR FINANCE EASY SE MIL JATA HAI.,10,Promoters,I received the loan from HC when I was in need|Customer care service is good|Overall satisfaction – Everything was ok/without problems
10,finance process accha hai.,10,Promoters,"Affordable Product & Services - Price, fees and terms"
10,जब हमारी  किस्त  का टाइम होता है तो  हमे कॉल करके परेसान  नहीं किया जाता   कि आपकी किस का टाइम हो गया,10,Promoters,Others
7,in case of late EMI The extra charges should be less,6,Detractor,No positive reason
10,"QUICK LOAN APPROVAL , LESS TIME CONSUMING",10,Promoters,Quick loan approvals / Higher chances of loan getting approved|Less Documents required for taking a loan / convenient loan application process|Convenient repayment process / collection
5,High interest rate,8,Passive,Others
7,customer had paid his emi on time but still get calls again and again.,8,Passive,HC removed my late payment charges/penalty charges|Convenient repayment process / collection|Overall satisfaction – Everything was ok/without problems
8,ACCOUNT M BALANCE THA PER EMI NHI KATI OR FINE BHI EXTERA  LGAYA,10,Promoters,Good previous experience / HC resolved my problem
10,If there is no money then a person can fulfill his wish,10,Promoters,Overall satisfaction – Everything was ok/without problems|I received the loan from HC when I was in need
6,They didn't provide proper information regarding the bill,6,Detractor,No positive reason
10,REPAYMENT KARNA,10,Promoters,Overall satisfaction – Everything was ok/without problems|Customer care service is good
9,Home Credit ke sath Benefit jyada milta hai. Baaki sab kuch Normal hi hai lekin thoda sa Interest jyada lagta hai.,10,Promoters,Others
10,customer care service achi  hai finance asani se ho jata jada documents nhi lagte,10,Promoters,Convenient repayment process / collection|Customer care service is good
10,INTEREST RATE SAHI HAI,10,Promoters,Overall satisfaction – Everything was ok/without problems
10,service is good. time per approval aa jata hai.,10,Promoters,Customer care service is good|Overall satisfaction – Everything was ok/without problems|Quick loan approvals / Higher chances of loan getting approved
10,इंटरेस्ट ब्याज दर कम  है,10,Promoters,Others
9,The agent did not take much time and got the loan approved immediately.,10,Promoters,Convenient repayment process / collection|Overall satisfaction – Everything was ok/without problems|Less Documents required for taking a loan / convenient loan application process
9,"Home Credit se Jaldi Finance ho jata hai, Down-Payment kam lagta hai aur Documents bhi kam lagta hai.",7,Passive,No positive reason
10,interest rate acha hai kam hai,10,Promoters,No positive reason
10,Home Credit customer ko call ya Message karke paresaan nhi karte hai yhi mujhe sabse acha laga.,10,Promoters,Others|Quick loan approvals / Higher chances of loan getting approved
9,It didn't take much time to get the loan,9,Promoters,Quick loan approvals / Higher chances of loan getting approved|Less Documents required for taking a loan / convenient loan application process
5,facilities acchi honi chyia,6,Detractor,Quick loan approvals / Higher chances of loan getting approved
6,2 Emi Deducted from customer account on same month,8,Passive,Overall satisfaction – Everything was ok/without problems
10,LOAN ASANI SY MILL GYA,7,Passive,No positive reason
10,SERVICE IS GOOD,10,Promoters,Overall satisfaction – Everything was ok/without problems
10,EMI mein aager late ho jata h too home credit adjust kr leta hain,10,Promoters,Overall satisfaction – Everything was ok/without problems
10,मेरे फोन की किस्त  13 तारीख को जाती है अगर  दो दिन लेट होता है  तो उसमें ज्यादा चार्ज नहीं ले जाता किस्त का,10,Promoters,Others
10,Only Home credit approved the loan to customer,10,Promoters,Quick loan approvals / Higher chances of loan getting approved
10,ache se time se asani se loan mil jata,10,Promoters,"Affordable Product & Services - Price, fees and terms|Application Process - Easy, Fast and Convenient|Convenient repayment process / collection|Quick loan approvals / Higher chances of loan getting approved"
7,home credit ka finance Jo Hota Hai Uska card bhi Banna chahie,4,Detractor,Others
10,Mobile finance is done quickly,8,Passive,No positive reason
8,sab theek hai,7,Passive,No positive reason
10,abhi to sab kuch acha hi chal raha hai aur kuch kehne ko nhi hai.,10,Promoters,Overall satisfaction – Everything was ok/without problems
10,ALL GOOD,10,Promoters,Overall satisfaction – Everything was ok/without problems
10,first loan hai asani se mil gaya good dealer service,10,Promoters,Already recommended to my friends
10,"QUICK LOAN APPROVAL , AS PER CUSTOMER ,  YOU WILL GET INSTANT LOAN",10,Promoters,Quick loan approvals / Higher chances of loan getting approved
10,time per loan or finance mil jata hai.,10,Promoters,"Easily available in shops / Dealer recommendation|Application Process - Easy, Fast and Convenient"
7,ACCOUNT SY PESY NHI KAT TY H  UNHY SHOP PER JAKR HI EMI BHARNI PAD RHI H,8,Passive,No positive reason
10,Home credit is very good but does not give loan,10,Promoters,Quick loan approvals / Higher chances of loan getting approved
10,"QUICK LOAN APPROVAL , LESS TIME CONSUMING",10,Promoters,Quick loan approvals / Higher chances of loan getting approved|Customer care service is good
10,JARURAT KE SAMAY LOAN MIL GYA,10,Promoters,Overall satisfaction – Everything was ok/without problems|Quick loan approvals / Higher chances of loan getting approved
8,Jyada time nhi hua hai isliye itna hi rating de skte hai baaki Home Credit me sab kuch thik hi hai abhi.,8,Passive,No positive reason
10,सही समय पर फाइनेंस मिल जाता है ज्यादा समय नहीं लगता है और कुछ समय लगा था पर उसमें मेरी गलती थी हम क्रेडिट की तरफ से कोई ज्यादा समय नहीं लगता,10,Promoters,Others
10,interest  rate accha hain,10,Promoters,Convenient repayment process / collection|Overall satisfaction – Everything was ok/without problems
10,"EVEN AFTER LATE PAYMENT , THEY DO NOT CALL AGAIN AND AGAIN , THEY DO NOT BEHAVE RUDELY",10,Promoters,Quick loan approvals / Higher chances of loan getting approved|HC removed my late payment charges/penalty charges|I received the loan from HC when I was in need
10,need ke time per loan mil gaya,10,Promoters,"Already recommended to my friends|Application Process - Easy, Fast and Convenient|Less Documents required for taking a loan / convenient loan application process"
10,Approval Mil Gya Home Credit Se,10,Promoters,Quick loan approvals / Higher chances of loan getting approved
10,Home Credit me sab kuch acha hi hai aur koi baat nhi hai batane ko.,8,Passive,No positive reason
7,"Even if you pay EMI on time, charge still gets deducted.",6,Detractor,I received the loan from HC when I was in need
9,services is good,10,Promoters,Others|Overall satisfaction – Everything was ok/without problems
10,ONLINE SUVIDHA ACHI H,10,Promoters,"I received the loan from HC when I was in need|Application Process - Easy, Fast and Convenient"
10,"AUTO DEBIT SERVICE IS GOOD , THE EMI GOT DEDUCTED ON TIME , AND ALL SERVICE ARE GOOD",10,Promoters,Overall satisfaction – Everything was ok/without problems|Others
10,emi payment process acha hai asani se finannce hogya,10,Promoters,"Overall satisfaction – Everything was ok/without problems|Affordable Product & Services - Price, fees and terms|Quick loan approvals / Higher chances of loan getting approved"
8,loan process mein time jyada lag jata hain,10,Promoters,"Quick loan approvals / Higher chances of loan getting approved|Application Process - Easy, Fast and Convenient"
10,"home credit process is good ,time per loan mil jata hai.",10,Promoters,"I received the loan from HC when I was in need|Application Process - Easy, Fast and Convenient"
10,ALL GOOD,10,Promoters,Quick loan approvals / Higher chances of loan getting approved
9,"If we want to buy any product, we can buy the product easily and also get loan easily.",9,Promoters,I received the loan from HC when I was in need|Less Documents required for taking a loan / convenient loan application process
10,"finance jaldi ho jata hai,",8,Passive,No positive reason
10,ALL GOOD/ AUTO PAYMENT HO JATI HAI,10,Promoters,Overall satisfaction – Everything was ok/without problems|Quick loan approvals / Higher chances of loan getting approved
7,Home credit interest is high,6,Detractor,"Quick loan approvals / Higher chances of loan getting approved|Application Process - Easy, Fast and Convenient"
10,Easy Application Process,9,Promoters,Overall satisfaction – Everything was ok/without problems
10,एमी भरने में कोई जोर जबरदस्ती नहीं होती पहले ही इनफॉर्म करके due date के बारे में बता देते हैं,10,Promoters,I trust HC / I know this company|I received the loan from HC when I was in need|Convenient repayment process / collection
9,excesslibity kafi achi hai easly finace ho jata,9,Promoters,"Application Process - Easy, Fast and Convenient|Quick loan approvals / Higher chances of loan getting approved"
10,loan facility is good . home credit se loan lena acha laga.,10,Promoters,I received the loan from HC when I was in need
9,फाइनेंस करवाते  समय ज्यादा समय नहीं लगा  जल्दी काम हो गया था,9,Promoters,Others
10,"QUICK APPROVAL , AND THE LIMIT SET BY HC IS GOOD",10,Promoters,Customer care service is good|Overall satisfaction – Everything was ok/without problems|Quick loan approvals / Higher chances of loan getting approved
8,Abhi ke liye itna hi Rating de skte hai kyuki jyada time nhi hua hai aur baaki sab kuch thik hi hai.,10,Promoters,Quick loan approvals / Higher chances of loan getting approved
7,EMI bherna k aasan tarika hain or ise se customer ki panelty bhi nhi lagti hain,6,Detractor,No positive reason
10,Easy finance through home credit,10,Promoters,I received the loan from HC when I was in need|Good previous experience / HC resolved my problem|Others
1,interest  rate jayda hai. interest kam kiya jaay,0,Detractor,No positive reason
10,Fast process for finance,10,Promoters,Quick loan approvals / Higher chances of loan getting approved|Overall satisfaction – Everything was ok/without problems
10,customer service or file aprovel service achi lgi,10,Promoters,Less Documents required for taking a loan / convenient loan application process|Quick loan approvals / Higher chances of loan getting approved
10,emi time se kat jati jada issue nhi aata easly finance ho jatta,10,Promoters,Overall satisfaction – Everything was ok/without problems|Customer care service is good|Easily available in shops / Dealer recommendation
10,service is good,10,Promoters,Overall satisfaction – Everything was ok/without problems
9,Loan aasani se mil jata hai.,7,Passive,No positive reason
10,"THE PENALTY NOT APPLICABLE ON THE NEXT DAY  OF DUE DATE , AND MESSAGE ALERT SERVICE FOR EMI PAYMENT IS GOOD",10,Promoters,HC removed my late payment charges/penalty charges
10,service is good,10,Promoters,Overall satisfaction – Everything was ok/without problems
10,जब मैं फाइनेंस करवाने के लिए गया था तो मेरा सारा काम जल्दी हो गया था,10,Promoters,Others
10,CUSTOMER CARE SERVICE ACHA H PESY JALDI AA JATY H ALL GOOD,10,Promoters,Quick loan approvals / Higher chances of loan getting approved
10,The work was done easily and the loan was easily obtained.,8,Passive,No positive reason
10,finance is good  interest rate is good.,8,Passive,Quick loan approvals / Higher chances of loan getting approved
10,process time easy fast hai emi timing achi lagi,10,Promoters,"Overall satisfaction – Everything was ok/without problems|Convenient repayment process / collection|Affordable Product & Services - Price, fees and terms"
10,ALL GOOD,10,Promoters,Good previous experience / HC resolved my problem
8,Can't talk to customer care,8,Passive,Overall satisfaction – Everything was ok/without problems|Good previous experience / HC resolved my problem
10,service bhot accha hai emi ke liye phle hi bata dete hai.,10,Promoters,Customer care service is good
2,Finance should be available on anything other than electronics ex-  bike etc,0,Detractor,No positive reason
10,fast easly loan mil jata limit achi mil jati,8,Passive,No positive reason
10,Home Credit me sab kuch acha laga. Time to Time payment karne par aage koi dikkat nhi aati hai sab sahi se chalta hai.,10,Promoters,Overall satisfaction – Everything was ok/without problems|Others
10,Loan is available quickly or electronic finance is available quickly.,10,Promoters,Less Documents required for taking a loan / convenient loan application process|Already recommended to my friends|HC removed my late payment charges/penalty charges
10,customer agar koi problem ki wjha se emi time pr nhi de pa rha hai to home credit customer ko smjhta hai yeh process bhot acchai hai.,10,Promoters,Good previous experience / HC resolved my problem
10,"emi process easy hai, phone ke jariy  emi jama kra sakte hai ,",10,Promoters,"Application Process - Easy, Fast and Convenient|Convenient repayment process / collection"
10,finance asani se mil jata personal  loan bhi mil jata finance karne ke baad isliy ye baat achi lagi,10,Promoters,"Application Process - Easy, Fast and Convenient|Quick loan approvals / Higher chances of loan getting approved"
10,जल्दी फाइनेंस हो गया था मोबाइल मिल जाता है,10,Promoters,Others
10,Home Credit me Jaldi se Kaam (Finance) ho jata hai bina kisi dikkat ke.,10,Promoters,Less Documents required for taking a loan / convenient loan application process|Overall satisfaction – Everything was ok/without problems|Others
10,Jaldi se Finance ho jata hai aur late Payment hone ke baad bhi Palanty nhi lagai Home Credit ne. Kist Final hone ke baad Third Party ki taraf se call bhut aate hai aur achhe se baat nhi karte hai agent.,8,Passive,"HC removed my late payment charges/penalty charges|Quick loan approvals / Higher chances of loan getting approved|Application Process - Easy, Fast and Convenient"
7,abhi ke liye itna hi Rating sahi hai aur sab kuch thik hai abhi tak.,10,Promoters,Overall satisfaction – Everything was ok/without problems
10,asani se laon mil gaya jada time nhi laga,10,Promoters,Easily available in shops / Dealer recommendation|Quick loan approvals / Higher chances of loan getting approved
10,late kisst late hone par extra charge nhi lete hai.,10,Promoters,HC removed my late payment charges/penalty charges
10,"INSTALMENT DEDUCT ON TIME , AUTO DEBIT SERVICE IS GOOD",10,Promoters,"Affordable Product & Services - Price, fees and terms|Overall satisfaction – Everything was ok/without problems"
9,I like the fact that loans are available.,10,Promoters,Others|No positive reason|Customer care service is good
10,Loans that are easily available from Home Create.,10,Promoters,No positive reason|HC removed my late payment charges/penalty charges
10,"finance process accha hai,",8,Passive,No positive reason
10,The due date received by the customer is quite good.,10,Promoters,No positive reason
10,offer ache laga ur km bhi jaldi hojata h ur time bhi km hai,10,Promoters,Customer care service is good
8,everything  is good,8,Passive,No positive reason
10,"We bought the phone from Home Credit, it felt good",10,Promoters,Others
10,annitilo try chesanu  kani yandulo raledhu enndulo matuku time waste kakunda thondaraga vachesindi,10,Promoters,Others|Easily available in shops / Dealer recommendation
10,लोन जल्दी मिल जाता है,10,Promoters,"Application Process - Easy, Fast and Convenient|Customer care service is good"
10,"customer ko finance ke sath safepay incurance diya jata hai ye baat achi lagi , jada documents nhi lagte hai asani se loan mil gaya",10,Promoters,Already recommended to my friends|Quick loan approvals / Higher chances of loan getting approved|Overall satisfaction – Everything was ok/without problems
10,I have taken two loan mobiles from home credit.,10,Promoters,Others|No positive reason
10,emi date sahi hai.,10,Promoters,Quick loan approvals / Higher chances of loan getting approved|Overall satisfaction – Everything was ok/without problems|HC removed my late payment charges/penalty charges
1,"emi se pehle call jayda  karte  hai  , online ,outomatic kissht nhi jati hai",0,Detractor,No positive reason
10,NECESSITY IMMEDIATE NEED FOR MONEY AND GET LOAN,10,Promoters,Less Documents required for taking a loan / convenient loan application process|I received the loan from HC when I was in need
7,प्रक्रिया का समय थोड़ा ज्यादा लगा,10,Promoters,Customer care service is good
10,service thik h,10,Promoters,Customer care service is good
9,Home Credit has given me a very good EMI Repay date,9,Promoters,Overall satisfaction – Everything was ok/without problems|Convenient repayment process / collection
8,service is good,8,Passive,"Application Process - Easy, Fast and Convenient|Overall satisfaction – Everything was ok/without problems"
10,Home credit services are very good services. Not all companies give loans so quickly but home loan is given,9,Promoters,Others|No positive reason|Easily available in shops / Dealer recommendation
10,"everything is good , time per loan mil gaya.",10,Promoters,"Application Process - Easy, Fast and Convenient"
7,reduce the EMI as the customer does not have the money.,10,Promoters,Overall satisfaction – Everything was ok/without problems
10,all over good,10,Promoters,Good previous experience / HC resolved my problem
2,There should be an option to repay the loan at once instead of paying it in instalments.,0,Detractor,Others|No positive reason
10,customer ko sab kuch laga jaldi finance mil jata chahiye hota,10,Promoters,"Affordable Product & Services - Price, fees and terms|Customer care service is good|Convenient repayment process / collection"
7,time se kist pay karne ke bad bhi penalty Kat li jati h.,6,Detractor,"Affordable Product & Services - Price, fees and terms"
10,Loans are easily available.,10,Promoters,Others|No positive reason
10,everything is good . koi problem nhi aai,10,Promoters,"Application Process - Easy, Fast and Convenient"
10,EVERYTHING IS GOOD,8,Passive,No positive reason
10,The loan process is fast and good response,8,Passive,Others
10,"Everything is good
EMI is deducted on time.
If any penalty is deducted then it is informed first and then charged.",10,Promoters,Already recommended to my friends|Good previous experience / HC resolved my problem
10,I bought the phone from home credit and I liked it here.,10,Promoters,Overall satisfaction – Everything was ok/without problems
8,ब्याज दर ज्यादा है वो कम होना चाहिए,5,Detractor,Others
10,Loans are easily available.,10,Promoters,Others|No positive reason
10,service is good,10,Promoters,Overall satisfaction – Everything was ok/without problems
10,"INSTANT LOAN SERVICE AND WHEN CUSTOMER NEED , THEY GET LOAN",10,Promoters,"Overall satisfaction – Everything was ok/without problems|Customer care service is good|Application Process - Easy, Fast and Convenient"
10,SIBIL SCORE LOW HONE KE BAD BI CUSTOMER KO FINANCE MIL GYA.,10,Promoters,Overall satisfaction – Everything was ok/without problems
9,Fast process,10,Promoters,I received the loan from HC when I was in need|Overall satisfaction – Everything was ok/without problems
8,Home credit can help a lot,8,Passive,Others
10,easily laon mil gaya tha finance mil gaya,10,Promoters,"Affordable Product & Services - Price, fees and terms|Overall satisfaction – Everything was ok/without problems"
10,"service is good , everything is good",10,Promoters,I received the loan from HC when I was in need|Customer care service is good|Overall satisfaction – Everything was ok/without problems|I trust HC / I know this company
8,It hasn't been much time so everything is fine so far,10,Promoters,Customer care service is good|Quick loan approvals / Higher chances of loan getting approved
8,JADA CALL NA AAYE,10,Promoters,Quick loan approvals / Higher chances of loan getting approved|Overall satisfaction – Everything was ok/without problems|Less Documents required for taking a loan / convenient loan application process
10,easy and fast process,10,Promoters,Overall satisfaction – Everything was ok/without problems
10,Call and message come on time to pay the installment.,10,Promoters,"I trust HC / I know this company|Application Process - Easy, Fast and Convenient"
